RegionID,SizeRank,RegionName,RegionType,StateName,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
394532,12,"Detroit, MI",Msa,MI,9885.9333,8954.8986,9266.2287,9755.9353,10322.8219,11155.6029,11606.96,13064.8521,12082.3452,11905.204,10384.3687,9866.575,9282.6932,8920.6041,8217.1396,8919.8546,9239.6584,10778.2769,10983.4778,11781.1247,11770.4724,10856.7665,10042.9063,9884.3768,9722.1149,8541.299,7817.4801,8731.1447,10093.9176,9682.6901,10514.5559,10909.5485,11933.0668,12392.0762,13030.3608,12017.4957,11543.9137,11335.6116,11010.5907,12039.315,14820.9577,15771.5298,19265.4283,17285.9271,17113.9298,16476.7006
395025,13,"Riverside, CA",Msa,CA,12826.5743,12298.6801,13179.8888,15747.9756,15069.6996,15020.9396,14919.8419,12106.9442,11808.359,11721.5041,11168.9618,11138.4311,11257.1712,11787.9911,12624.5382,13359.9399,13618.62,13100.8067,12569.654,12864.8757,12029.1579,11529.8621,11369.2175,11534.546,11016.0325,11105.2568,11896.3382,13530.9802,16524.1991,16701.9536,13219.322,12265.1251,14787.3912,15886.5726,18275.2053,17832.6152,19391.8786,18696.5113,19298.4889,23500.9493,24256.161,29670.0689,27233.7033,31309.2777,24908.2829,22714.2616
394976,14,"Phoenix, AZ",Msa,AZ,6766.7891,6601.7997,6283.1621,8737.1317,9370.3744,9592.5811,8542.6022,7704.0321,6962.0911,6608.0415,6473.8355,6735.5841,6983.1652,6480.7351,5793.5257,7123.1474,7260.4772,7893.7353,7727.6124,7477.0858,7285.1354,6901.2933,7160.4326,7910.673,7548.8239,7611.8593,7130.4498,9020.6259,13135.4454,11323.6525,7314.4909,8391.6284,11037.121,10906.7713,11582.0125,11824.6064,11609.1208,12104.7312,12739.6662,16637.0761,17604.7529,20270.2312,21574.7607,23957.1249,21666.8276,16508.9117
395078,15,"Seattle, WA",Msa,WA,21735.3409,19336.1326,20457.4388,22563.1972,24875.207,24956.2243,34012.9662,29015.5936,25843.6564,23370.3198,21488.1939,21613.4277,22235.3117,21015.4703,20347.1998,21662.5873,24216.9597,24812.5512,25839.5072,25539.4432,24773.1436,22016.4204,21294.8651,22079.2006,22848.7003,20705.7668,19146.5285,27267.2748,32468.2145,29742.6077,22625.1769,25300.7006,26639.0971,30560.597,29232.9736,32138.1812,30343.7184,30876.6962,28166.5135,37997.4377,47602.5109,37689.4638,45764.7383,43216.953,41341.8721,32182.5475
394865,16,"Minneapolis-St Paul, MN",Msa,MN,10684.5685,9784.6857,10712.2746,12469.3912,13404.2547,14258.2736,13885.4049,13743.3755,13335.029,12252.3772,11503.7549,11790.6438,11211.4934,10065.9304,9102.003,10471.1498,11851.6939,12143.1038,13345.2801,12783.0685,12685.5301,11805.9675,10977.4939,10802.4887,9425.4189,8237.6668,7544.6146,9284.3633,12239.4055,12437.1337,10783.7671,11439.116,13661.0638,14144.4749,13991.1386,13341.3422,12038.5238,11728.8088,10127.4568,11086.9168,15648.4767,17769.68,17936.3069,18595.4303,18303.8461,14823.2916
395056,17,"San Diego, CA",Msa,CA,24970.7017,22159.3233,19741.0795,27486.9409,26247.8706,26923.0774,28573.1796,26314.513,26328.6454,24123.1903,23948.4706,21743.5006,21551.0905,21187.6093,21321.0865,22816.7679,23577.7926,25739.8089,23914.105,24746.5613,25618.7869,24854.6137,24658.5534,25819.0645,25350.0228,29122.1571,28559.0097,28972.2449,35027.6718,31482.1526,25221.2581,27246.6211,29417.9064,36795.5246,34638.2825,41515.0768,38055.7358,35875.8686,34500.19,42326.3163,51977.0603,55098.4418,53983.6749,57841.7092,50637.1492,37323.2906
395121,18,"St. Louis, MO",Msa,MO,7722.7743,7343.2416,7481.4094,7909.7967,8276.8034,9006.6786,9538.93,9664.9305,9555.8269,9174.7469,8760.7404,8575.8819,8402.351,8253.5268,7518.3746,8171.0491,8368.8992,9768.2534,10016.6108,9954.3906,10011.0163,9742.577,9866.0602,9022.8676,8654.5346,8399.0524,7829.6552,8334.4801,9038.6709,9338.0893,8474.7973,9746.8279,10674.001,11514.6585,11137.8517,11112.0031,10008.9788,9561.1917,8737.5579,10443.4216,9783.734,13579.5568,14252.5973,14395.2804,14244.678,13583.1845
395148,19,"Tampa, FL",Msa,FL,8091.1902,7597.9566,7898.8936,8855.0922,8820.1692,8667.2097,9095.0316,9305.7827,9043.8453,8474.9256,8267.7551,7879.5515,8165.7301,8217.2009,7267.857,7596.0243,7860.6143,8177.6402,8577.5884,8825.7677,8209.0637,7770.0358,8371.6013,7964.7597,7942.9029,7750.2774,7281.0789,7885.2251,9142.8013,8549.7666,7996.779,7401.6512,8516.7056,8950.8069,9415.9431,10030.345,9983.1018,9329.5356,9728.0642,10782.7892,12686.4005,13393.4341,15893.0699,16340.3046,17047.2904,14223.1226
394358,20,"Baltimore, MD",Msa,MD,11477.986,11597.7051,10999.8858,10643.6639,10960.2232,11726.3626,12037.2789,12571.9664,12516.9033,12064.3247,11470.797,12083.8561,11577.8089,11039.7111,10137.4257,10954.813,11361.5081,11765.083,12177.0851,13124.855,12681.4368,12174.1624,11896.8074,11966.7992,11117.946,10131.2338,10324.0068,10108.8345,12702.8193,12040.8528,11759.4302,12140.8181,13100.2656,13979.5975,13731.5405,13951.2953,13744.3485,12538.9398,12310.5774,13588.9495,14354.5225,15146.0364,16762.2969,17764.4272,17408.9381,14978.8221
394530,21,"Denver, CO",Msa,CO,13348.1,12551.7387,14636.9027,14598.6249,15165.9293,14474.9675,15271.0396,14681.4044,13969.1082,13317.0026,12611.1065,12648.2911,12392.1909,10395.9375,10168.9469,12241.5272,12570.5216,13484.7323,12798.9838,12675.3347,12437.7845,11798.8295,11266.8558,11343.2624,10456.696,10697.9262,10734.5929,12278.0115,14941.1703,14881.7811,12561.3456,12636.1741,14069.9368,15768.058,15307.8944,16868.2112,18196.6987,17442.929,17333.9932,22328.6941,27936.8248,28273.4807,36455.691,30266.9577,25760.0864,20556.4458
